ASCII Code	Huffman Code
101			000
105			0010
115			0011
110			0100
10			01010
80			01011000
113			0101100100
34			010110010100000000000000000000000000000000000000000000
35			010110010100000000000000000000000000000000000000000001
36			01011001010000000000000000000000000000000000000000001
37			0101100101000000000000000000000000000000000000000001
38			010110010100000000000000000000000000000000000000001
40			01011001010000000000000000000000000000000000000001
41			0101100101000000000000000000000000000000000000001
42			010110010100000000000000000000000000000000000001
43			01011001010000000000000000000000000000000000001
47			0101100101000000000000000000000000000000000001
48			010110010100000000000000000000000000000000001
49			01011001010000000000000000000000000000000001
50			0101100101000000000000000000000000000000001
51			010110010100000000000000000000000000000001
52			01011001010000000000000000000000000000001
53			0101100101000000000000000000000000000001
54			010110010100000000000000000000000000001
55			01011001010000000000000000000000000001
56			0101100101000000000000000000000000001
57			010110010100000000000000000000000001
60			01011001010000000000000000000000001
61			0101100101000000000000000000000001
62			010110010100000000000000000000001
64			01011001010000000000000000000001
70			0101100101000000000000000000001
74			010110010100000000000000000001
75			01011001010000000000000000001
81			0101100101000000000000000001
86			010110010100000000000000001
88			01011001010000000000000001
90			0101100101000000000000001
91			010110010100000000000001
92			01011001010000000000001
93			0101100101000000000001
94			010110010100000000001
95			01011001010000000001
96			0101100101000000001
120			010110010100000001
122			01011001010000001
123			0101100101000001
124			010110010100001
125			01011001010001
126			0101100101001
33			010110010101
39			01011001011
66			0101100110
68			01011001110
106			01011001111
118			0101101
109			010111
108			01100
67			01101000
72			0110100100
89			0110100101
76			011010011
83			01101010
85			011010110
87			011010111
102			011011
111			0111
117			10000
44			100010
98			1000110
46			1000111
116			1001
97			1010
100			10110
84			10111000
45			101110010
58			101110011
103			1011101
121			101111
65			11000000
69			110000010
59			110000011
112			1100001
119			110001
114			11001
99			110100
73			11010100
63			110101010
77			1101010110
82			1101010111
78			110101100
79			110101101
107			110101110
71			110101111
104			11011
32			111
